stt,date,Latitude,Longitude,density,class
236,8/25/2019,41.816301,-87.638721,1531,Normal
237,8/26/2019,41.816676,-87.614468,1326,Normal
238,8/27/2019,41.808578,-87.667723,1366,Normal
239,8/28/2019,41.808649,-87.661622,240,Sparse
240,8/29/2019,41.809221,-87.626946,466,Sparse
241,8/30/2019,41.809396,-87.615874,598,Sparse
242,8/31/2019,41.809607,-87.599776,2584,Normal
243,9/1/2019,41.801293,-87.667538,3163,Normal
244,9/2/2019,41.801533,-87.648948,368,Sparse
245,9/3/2019,41.801616,-87.6436,189,Sparse
246,9/4/2019,41.801921,-87.62744,10575,Crowded
247,9/5/2019,41.802072,-87.618178,10293,Crowded
248,9/6/2019,41.80222,-87.608065,8822,Crowded
249,9/7/2019,41.794244,-87.648908,8621,Crowded
250,9/8/2019,41.794804,-87.61571,8102,Crowded
251,9/9/2019,41.795109,-87.59326,8124,Crowded
252,9/10/2019,41.786465,-87.690066,8428,Crowded
253,9/11/2019,41.78671,-87.66752,9261,Crowded
254,9/12/2019,41.78691,-87.652961,9377,Crowded
255,9/13/2019,41.787062,-87.640752,8062,Crowded
256,9/14/2019,41.787305,-87.628708,1105,Normal
257,9/15/2019,41.78747,-87.619044,2550,Normal
258,9/16/2019,41.846463,-87.681163,2880,Normal
259,9/17/2019,41.849394,-87.673525,3286,Normal
260,9/18/2019,41.859146,-87.660062,518,Sparse
261,9/19/2019,41.852078,-87.682174,347,Sparse
262,9/20/2019,41.852265,-87.669817,356,Sparse
263,9/21/2019,41.852464,-87.658227,153,Sparse
264,9/22/2019,41.852859,-87.633451,2240,Normal
265,9/23/2019,41.852812,-87.637573,118,Sparse
266,9/24/2019,41.852874,-87.627827,118,Sparse
267,9/25/2019,41.852861,-87.624414,780,Sparse
268,9/26/2019,41.852881,-87.622835,709,Sparse
269,9/27/2019,41.802322,-87.600681,112,Sparse
270,9/28/2019,41.797123,-87.583995,530,Sparse
271,9/29/2019,41.771932,-87.686307,890,Sparse
272,9/30/2019,41.772008,-87.679253,1075,Normal
273,10/1/2019,41.772514,-87.641987,349,Sparse
274,10/2/2019,41.772885,-87.620079,129,Sparse
275,10/3/2019,41.774978,-87.6042,196,Sparse
276,10/4/2019,41.828474,-87.65091,182,Sparse
277,10/5/2019,41.769644,-87.649382,57,Sparse
278,10/6/2019,41.762368,-87.649192,51,Sparse
279,10/7/2019,41.823191,-87.662035,727,Sparse
280,10/8/2019,41.823602,-87.634859,328,Sparse
281,10/9/2019,41.823805,-87.619176,90,Sparse
282,10/10/2019,41.823948,-87.607812,571,Sparse
283,10/11/2019,41.86686,-87.668106,453,Sparse
284,10/12/2019,41.867145,-87.647525,368,Sparse
285,10/13/2019,41.867266,-87.638052,1527,Normal
286,10/14/2019,41.867439,-87.625406,1745,Normal
287,10/15/2019,41.849302,-87.622658,1422,Normal
288,10/16/2019,41.845391,-87.641581,930,Sparse
289,10/17/2019,41.84566,-87.622137,1254,Normal
290,10/18/2019,41.793359,-87.587904,915,Sparse
291,10/19/2019,41.791544,-87.586175,1418,Normal
292,10/20/2019,41.785874,-87.606038,1325,Normal
293,10/21/2019,41.759597,-87.653971,1352,Normal
294,10/22/2019,41.743472,-87.550548,1381,Normal
295,10/23/2019,41.741127,-87.545616,1734,Normal
296,10/24/2019,41.873149,-87.624836,2245,Normal
297,10/25/2019,41.873213,-87.620591,2343,Normal
298,10/26/2019,41.786586,-87.611974,1679,Normal
299,10/27/2019,41.869368,-87.620509,1725,Normal
300,10/28/2019,41.802286,-87.603784,1842,Normal
301,10/29/2019,41.786166,-87.584966,3559,Normal
302,10/30/2019,41.793546,-87.612405,3421,Normal
303,10/31/2019,41.793645,-87.609034,384,Sparse
304,11/1/2019,41.873649,-87.709133,292,Sparse
305,11/2/2019,41.87389,-87.686234,1232,Normal
306,11/3/2019,41.874043,-87.676455,715,Sparse
307,11/4/2019,41.874122,-87.670619,3854,Normal
308,11/5/2019,41.874199,-87.665037,1045,Normal
309,11/6/2019,41.87436,-87.652225,1209,Normal
310,11/7/2019,41.87438,-87.627297,1142,Normal
311,11/8/2019,41.874327,-87.646119,335,Sparse
312,11/9/2019,41.866652,-87.64217,64,Sparse
313,11/10/2019,41.873569,-87.642397,98,Sparse
314,11/11/2019,41.787229,-87.594821,482,Sparse
315,11/12/2019,41.823134,-87.605367,801,Sparse
316,11/13/2019,41.872155,-87.633321,760,Sparse
317,11/14/2019,41.712817,-87.659031,384,Sparse
318,11/15/2019,41.743319,-87.547879,265,Sparse
319,11/16/2019,41.74028,-87.54538,160,Sparse
320,11/17/2019,41.855226,-87.619095,369,Sparse
321,11/18/2019,41.875514,-87.639626,487,Sparse
322,11/19/2019,41.874389,-87.640956,1122,Normal
323,11/20/2019,41.720957,-87.560671,8722,Crowded
324,11/21/2019,41.867512,-87.620401,8367,Crowded
325,11/22/2019,41.782388,-87.584573,72,Sparse
326,11/23/2019,41.873925,-87.62919,8367,Crowded
327,11/24/2019,41.873531,-87.643862,102,Sparse
328,11/25/2019,41.693059,-87.671533,8272,Crowded
329,11/26/2019,41.759562,-87.638479,157,Sparse
330,11/27/2019,41.794542,-87.607689,8912,Crowded
331,11/28/2019,41.838528,-87.662425,2384,Normal
332,11/29/2019,41.778678,-87.579568,8888,Crowded
333,11/30/2019,41.766933,-87.610456,2693,Normal
334,12/1/2019,41.737236,-87.644725,8926,Crowded
335,12/2/2019,41.714883,-87.573706,3689,Normal
336,12/3/2019,41.873661,-87.62598,1420,Normal
337,12/4/2019,41.86832,-87.625851,9640,Crowded
338,12/5/2019,41.869272,-87.633488,5262,Normal
339,12/6/2019,41.801676,-87.59669,2820,Normal
340,12/7/2019,41.876773,-87.671635,7688,Normal
341,12/8/2019,41.869995,-87.679727,14879,Crowded
342,12/9/2019,41.862371,-87.692771,6503,Normal
343,12/10/2019,41.815579,-87.692019,11086,Crowded
344,12/11/2019,41.818962,-87.645802,5122,Normal
345,12/12/2019,41.800125,-87.596657,8821,Crowded
346,12/13/2019,41.805123,-87.596753,5253,Normal
347,12/14/2019,41.810689,-87.596855,285,Sparse
348,12/15/2019,41.860562,-87.617934,213,Sparse
349,12/16/2019,41.799972,-87.581471,213,Sparse
350,12/17/2019,41.706839,-87.55965,2733,Normal
351,12/18/2019,41.708489,-87.535287,1341,Normal
352,12/19/2019,41.70242,-87.628153,555,Sparse
353,12/20/2019,41.702738,-87.701224,4131,Normal
354,12/21/2019,41.687943,-87.620988,5656,Normal
355,12/22/2019,41.690928,-87.610268,2620,Normal
356,12/23/2019,41.680056,-87.622723,3010,Normal
357,12/24/2019,41.682968,-87.642082,2902,Normal
358,12/25/2019,41.677875,-87.671582,4054,Normal
359,12/26/2019,41.66836,-87.620176,1553,Normal
360,12/27/2019,41.675955,-87.622596,1399,Normal
361,12/28/2019,41.674552,-87.627366,1355,Normal
362,12/29/2019,41.658336,-87.547134,4991,Normal
363,12/30/2019,41.659854,-87.55928,4669,Normal
364,12/31/2019,41.655545,-87.559298,4981,Normal
365,1/1/2020,41.773922,-87.673756,12049,Crowded
366,1/2/2020,41.880815,-87.666819,10860,Crowded
367,1/3/2020,41.879119,-87.666752,4818,Normal
368,1/4/2020,41.879863,-87.644062,1917,Normal
369,1/5/2020,41.897607,-87.667335,236,Sparse
370,1/6/2020,41.822902,-87.688714,1037,Normal
371,1/7/2020,41.915566,-87.750173,322,Sparse
372,1/8/2020,41.919517,-87.746187,9644,Crowded
373,1/9/2020,41.961614,-87.667445,190,Sparse
374,1/10/2020,41.794069,-87.662159,289,Sparse
375,1/11/2020,41.885403,-87.663033,317,Sparse
376,1/12/2020,41.932463,-87.664643,317,Sparse
377,1/13/2020,41.90128,-87.745946,5822,Normal
378,1/14/2020,41.900935,-87.755742,6736,Normal
379,1/15/2020,41.900144,-87.765583,5097,Normal
380,1/16/2020,41.877113,-87.77081,196,Sparse
381,1/17/2020,41.882191,-87.768235,4740,Normal
382,1/18/2020,41.887904,-87.771064,3795,Normal
383,1/19/2020,41.902037,-87.772722,2035,Normal
384,1/20/2020,41.919484,-87.769758,3313,Normal
385,1/21/2020,41.931174,-87.77358,6060,Normal
386,1/22/2020,41.960389,-87.774207,4452,Normal
387,1/23/2020,41.702743,-87.537314,3546,Normal
388,1/24/2020,41.65732,-87.557177,984,Sparse
389,1/25/2020,41.651861,-87.54501,1311,Normal
390,1/26/2020,41.93269,-87.776018,226,Sparse
391,1/27/2020,41.9477,-87.646232,123,Sparse
392,1/28/2020,41.985494,-87.657453,261,Sparse
393,1/29/2020,41.97914,-87.655026,830,Sparse
394,1/30/2020,41.844657,-87.697733,2772,Normal
395,1/31/2020,41.801077,-87.688258,152,Sparse
396,2/1/2020,41.808295,-87.693288,152,Sparse
397,2/2/2020,41.851933,-87.693114,1341,Normal
398,2/3/2020,41.866535,-87.693471,1341,Normal
399,2/4/2020,41.81567,-87.686204,3593,Normal
400,2/5/2020,41.988619,-87.812789,2559,Normal
401,2/6/2020,41.858949,-87.717426,1900,Normal
402,2/7/2020,41.95327,-87.759652,2842,Normal
403,2/8/2020,41.924043,-87.761108,1790,Normal
404,2/9/2020,41.910014,-87.713878,3203,Normal
405,2/10/2020,41.881668,-87.718383,2765,Normal
406,2/11/2020,41.880898,-87.712441,1400,Normal
407,2/12/2020,41.928267,-87.716068,1453,Normal
408,2/13/2020,41.9753,-87.750239,718,Sparse
409,2/14/2020,41.865941,-87.741303,720,Sparse
410,2/15/2020,41.895151,-87.737793,720,Sparse
